Group_Hypothesis,Sub_Hypothesis,Description,Expression
P/E Ratio,PE_Expansion_Reversion,A significant expansion in the P/E ratio after an earnings beat will lead to a price pullback within 10 days.,Signal = -1 * (PE_Ratio_T - PE_Ratio_Announcement)/PE_Ratio_Announcement if (PE_Ratio_T > PE_Ratio_Announcement * 1.2) else 0
Correlation,Sector_Correlation_Trade,Stocks within a sector that exhibit a high correlation post-earnings announcement will move in a similar direction.,"Signal = Correlation(Stock_A_Return, Sector_Average_Return) * Stock_A_Return if (Correlation(Stock_A_Return, Sector_Average_Return) > 0.8) else 0"
Volatility Clustering,Moving Average Volatility Crossover,"Buy when short-term moving average volatility exceeds long-term moving average volatility, and sell when the opposite occurs.",signal = 1 if volatility_SMA_short > volatility_SMA_long else -1 if volatility_SMA_short < volatility_SMA_long else 0
Volatility Clustering,Bollinger Band Width,"Buy when Bollinger Band width contracts, indicating low volatility, and sell when it expands, indicating high volatility.",signal = 1 if (upper_band - lower_band) < threshold_low else -1 if (upper_band - lower_band) > threshold_high else 0
Volatility Clustering,Volatility Rank Percentile,Buy assets with lower recent volatility rank percentile compared to historical volatility rank percentile and short assets with the reverse.,signal = 1 if current_volatility_rank_percentile < historical_volatility_rank_percentile_threshold else -1 if current_volatility_rank_percentile > historical_volatility_rank_percentile_threshold else 0
Volatility Clustering,VIX Futures Spread,Go long when the VIX futures term structure is in contango (longer-dated futures are more expensive) and short when it is in backwardation.,signal = 1 if vix_future_long > vix_future_short else -1 if vix_future_long < vix_future_short else 0
Volatility Clustering,Realized Volatility,High realized volatility (sum of squared intraday returns) predicts higher future realized volatility.,realized_volatility = sum(returns_intraday^2)
Volatility Clustering,Correlation Clustering,High correlation between asset volatilities predicts continued high correlation and volatility.,"Signal = Correl(RollingVolatility(AssetA, 20), RollingVolatility(AssetB, 20))"
Correlation Exploiting,P/E Ratio Correlation Disparity,Disparate changes in P/E ratios of highly correlated stocks predict a weakening of their correlation.,"signal = -1 * abs( (pe_a[t] - pe_a[t-1])/pe_a[t-1] - (pe_b[t] - pe_b[t-1])/pe_b[t-1] ) * corr(price_a[t-30:t], price_b[t-30:t])"
Correlation Exploiting,Short-Term Volatility Spike,"A sudden increase in the volatility of one asset, while its correlation with another remains low, predicts a price movement in the less volatile asset.","Signal = Volatility(Price_AssetA[t]) * (1 - Corr(Price_AssetA[t], Price_AssetB[t]))"
Correlation Exploiting,Macroeconomic Event Impact,Pairs with historically high correlation will show a temporary shift in correlation following significant macroeconomic announcements.,"Signal = correlation(price_A, price_B, window=100) - post_announcement_correlation(price_A, price_B, window=5)"
Correlation Exploiting,Overnight Correlation Decay,Correlation between assets weakens overnight; this temporary deviation can be exploited by identifying pairs with abnormally high overnight correlation.,Signal = (daily_correlation - overnight_correlation) / daily_correlation
Correlation Exploiting,High-Frequency Correlation Breakdown,High-frequency trading strategies can profit from the transient breakdown of correlations detectable only at very high frequencies.,"Signal =  detect_correlation_breakdown(AssetA_high_freq_price, AssetB_high_freq_price, threshold=0.1, window=10ms)"
Correlation Exploiting,Factor-Driven Correlation Shift,Changes in the influence of a common factor on correlated assets cause temporary correlation shifts that generate trading signals.,"Signal = (factor_exposure_A * factor_exposure_B) - rolling_correlation(AssetA_price, AssetB_price, window=20)"
Broad Macroeconomic Trends and Indicators Influence Asset Prices,Economic Growth Momentum,Strong GDP growth momentum leads to higher returns in cyclical sectors.,Signal = (GDPGrowth_t - GDPGrowth_t-1) * ExposureToCyclicalSectors
Broad Macroeconomic Trends and Indicators Influence Asset Prices,Unemployment Rate Impact,Decreases in the unemployment rate predict higher consumer spending and stock prices.,Signal = -1 * ChangeInUnemploymentRate
Broad Macroeconomic Trends and Indicators Influence Asset Prices,Currency Devaluation Effect,A weakening domestic currency positively impacts export-oriented companies' stock prices.,Signal = ChangeInExchangeRate * ExportRevenueRatio
Broad Macroeconomic Trends and Indicators Influence Asset Prices,Commodity Price Shock,Significant increases in commodity prices negatively affect consumer discretionary stocks.,Signal = -1 * (ChangeInCommodityPriceIndex * ConsumerDiscretionaryExposure)
Broad Macroeconomic Trends and Indicators Influence Asset Prices,VIX Volatility,"High VIX values indicate increased market uncertainty, potentially leading to lower returns.",Signal = -1 * VIXIndex
Broad Macroeconomic Trends and Indicators Influence Asset Prices,PMI Sentiment,A strong Purchasing Manager's Index (PMI) suggests positive business sentiment and stock market gains.,Signal = PMIIndex
Volume Anomaly,Volume/Price Ratio Change,A sudden increase in the volume/price ratio suggests an impending price change.,signal = (Volume[t]/Close[t]) - Avg(Volume[t-10:t]/Close[t-10:t])
Volume Spike,Volume Spike and Sentiment Divergence,A volume spike accompanied by negative sentiment suggests a short-term buying opportunity.,IF (Volume[t] > 3 * Avg(Volume[t-20:t-1]) AND Sentiment[t] < 0) THEN Signal = 1 ELSE Signal = 0; Buy if Signal = 1
Volume Anomaly,Volume and Correlation Shift,Increased volume with a change in correlation to a benchmark index suggests a directional movement.,"signal = Correlation(Close[t-20:t],IndexClose[t-20:t]) - Correlation(Close[t-50:t-30],IndexClose[t-50:t-30]) if Volume[t] > 2*Avg(Volume[t-20:t]) else 0"
Volume Anomaly,Price/Volume Trend Confirmation,Confirmation of a price trend by a high-volume increase implies continuation.,signal = 1 if (Close[t]>Close[t-1] and Volume[t]>Volume[t-1] and Volume[t] > 1.5*Avg(Volume[t-20:t])) or (Close[t]<Close[t-1] and Volume[t]>Volume[t-1] and Volume[t] > 1.5*Avg(Volume[t-20:t])) else 0
Unusual Trading Volume,Volume-Based P/E Ratio Change,A significant change in P/E ratio alongside unusual volume suggests a potential market revaluation.,"Signal = (P/E - Avg(P/E, 20)) / Avg(P/E,20) * (Volume/Avg(Volume,20))"
Volume Anomaly,Short-Term Volume Acceleration,"An increasing volume trend over a short period (e.g., 3 days) preceding a significant spike predicts price movement.",signal = 1 if (Volume[t] > 2*Volume[t-1] and Volume[t-1] > 1.5*Volume[t-2] and Volume[t] > 2*Avg(Volume[t-20:t])) else 0
Short-Term Reversal,Sentiment-Based Reversal,Stocks with the most negative recent news sentiment scores are projected to outperform those with positive sentiment scores in the subsequent trading session.,Signal = Rank(-average_news_sentiment_score_past_3_days)
Short-Term Reversal,Short-Term Overbought Reversal,"Stocks showing an overbought condition (e.g., RSI > 70) are expected to underperform in the next 2 days.","Signal = IF( RSI(Close, 14) > 70, -1, 0 )"
Smaller Cap Outperformance,Growth Stock Momentum,Rapidly growing small-cap stocks maintain momentum and outperform.,Signal = (RevenueGrowth[t] - RevenueGrowth[t-4]) * (Price[t] - Price[t-4])/Price[t-4]; Buy if Signal > 0.1 and MarketCap < $500M
Exploiting Earnings Surprise,Surprise_Magnitude,Stocks with larger positive earnings surprises outperform those with smaller surprises in the following week.,Signal = (EPS_Actual - EPS_Estimate) / EPS_Estimate
Exploiting Earnings Surprise,Surprise_Sign_and_Volatility,Stocks with positive earnings surprises and low pre-earnings announcement volatility outperform.,Signal = (EPS_Actual > EPS_Estimate) * (1 / Pre_Announce_Volatility)
Pre-Earnings Announcement Drift,Pre_Announce_Drift_Reversal,Stocks exhibiting a significant price increase in the week before the announcement will underperform in the week after.,Signal = -1 * (Price_Before - Price_Before_Week)
Post-Earnings Announcement Drift,Post_Announce_Momentum,Stocks that experience a large positive price jump immediately following the announcement will continue to outperform in the next few days.,Signal = Price_Post_Announce - Price_Pre_Announce
Volume and Earnings,Volume_Surprise_Amplification,The impact of an earnings surprise is amplified by trading volume around the announcement.,Signal = (EPS_Actual - EPS_Estimate) / EPS_Estimate * (Volume_Post_Announce / Average_Volume)
Sentiment and Earnings,Sentiment_Surprise_Discrepancy,Stocks with a positive sentiment shift but a negative earnings surprise underperform.,Signal = (Sentiment_Post - Sentiment_Pre) * (EPS_Actual < EPS_Estimate)
Short-Term Reversal,2_Day_Price_Reversion,Stocks with large price increases on the day of the announcement will experience a price reversion the following day.,Signal = -1 * (Price_Announce_Day - Price_Pre_Announce)
Analyst Revisions,Revision_Impact,Stocks with upward revisions in EPS estimates prior to the announcement will outperform those with downward revisions.,Signal = Sum(EPS_Revisions)
Correlation with Market,Correlation_Break,Stocks that show a significant negative correlation with the market in the days leading to the announcement outperform after a positive earnings surprise.,Signal = (Correlation_Pre_Announce < -0.5) * (EPS_Actual > EPS_Estimate)
P/E Ratio and Earnings,PE_Surprise_Interaction,The effect of an earnings surprise is magnified for stocks with low P/E ratios.,Signal = (EPS_Actual - EPS_Estimate) / EPS_Estimate * (1 / P_E_Ratio)
Momentum,20-Day Price Momentum,A positive 20-day price momentum indicates sustained upward pressure.,signal = (Price - Price[-20]) / Price[-20]
Correlation,Industry Correlation,Stocks with high correlation to their industry's performance tend to follow the industry trend.,"signal = correlation(stock_price, industry_index_price, 20)"
Momentum,5-Day Price Winner,Assets that have the highest 5-day price returns will continue to outperform in the next 2 days.,Signal = Rank( (Close[t] - Close[t-5]) / Close[t-5] )
Momentum,PE Ratio Acceleration,Assets with accelerating growth in their P/E ratio over the last month will continue to outperform.,Rank( (P/E[t] - P/E[t-20]) / (P/E[t-20] - P/E[t-40]) )
Momentum,Price Change Volatility,Stocks with consistently high price volatility over the last week will have strong short-term momentum.,"Signal = StandardDeviation(Price[t-i], i=1 to 5)"
Momentum,Gap Up Momentum,Assets that open with a significant gap up will continue to outperform over the next day.,Rank( (Open[t] - Close[t-1]) / Close[t-1] )
Value Outperformance,Price-to-Book Anomaly,Stocks with a low Price-to-Book ratio relative to their industry will generate higher returns.,Signal = 1 - (Price/Book) / median(Industry Price/Book)
Value Outperformance,Dividends and Valuation,High dividend yield stocks with low P/E ratios will outperform the market.,Signal = DividendYield * (1 / P/E)
Value Outperformance,Growth vs. Value,Low P/E ratios combined with positive earnings growth signal outperformance.,Signal = (1/P/E) * (EarningsGrowthRate)
Value Outperformance,Cyclicality and Valuation,Undervalued cyclical stocks will outperform during economic recoveries.,Signal = (1/P/E) * EconomicSurpriseIndex
Value Outperformance,Momentum and Value,Value stocks with positive recent price momentum will outperform value stocks without.,Signal = (1/P/E) * (1 + (PriceChange/PreviousPrice))
Value Outperformance,Value Dispersion,Assets with valuations significantly below their peers within a specific sector will outperform.,Signal = 1 if (P/E < 0.75 * SectorMedianPE) else 0
Value Outperformance,Leverage and Value,Low P/E stocks with low debt-to-equity ratios will outperform.,Signal = (1/P/E) * (1 - DebtToEquity)
Value Outperformance,Analyst Sentiment and Value,Undervalued stocks with positive or improving analyst sentiment will outperform.,Signal = (1/P/E) * AnalystSentimentScore
Unusual Trading Volume,Volume-Price Correlation Reversal,A sudden change in the positive correlation between volume and price suggests a potential trend reversal.,"Signal = -1 * Correlation(Volume_{t-20:t-1}, Price_{t-20:t-1}) if Correlation(Volume_{t-5:t}, Price_{t-5:t}) < 0 else 0 "
Unusual Trading Volume,Gap and Go with High Volume,A significant price gap up followed by high volume confirms a potential continuation of the uptrend.,Signal = 1 if Gap_t > 0.02 * Price_{t-1} and Volume_t > 2 * Average(Volume_{t-20:t-1}) else 0
Unusual Trading Volume,P/E Ratio and Volume Surge,A high P/E ratio combined with unusually high volume may indicate an overvalued asset.,Signal = -1 if P/E_t > 2 * Average(P/E_{t-20:t-1}) and Volume_t > 3 * Average(Volume_{t-20:t-1}) else 0
Market Sentiment,Sentiment-Volume Confluence,High positive sentiment combined with high volume predicts stronger price increases.,signal = sentiment_score * volume
Correlation Arbitrage: Exploiting temporary mispricing between correlated assets,ETF Tracking Error Reversion,The tracking error of an ETF relative to its benchmark index will revert to the mean.,"signal = (ETF_price - benchmark_price) - mean(ETF_price - benchmark_price, 30 days)"
Correlation Arbitrage: Futures Pairs Trading,Futures Spread Volatility,Low volatility in the spread between correlated futures contracts presents a higher-probability mean reversion trade.,Signal = 1 / StandardDeviation(Spread(30 days))
Correlation Arbitrage: Cross-Market ETFs,Interest Rate Differential,Differences in interest rate between two countries correlated with ETF price movements.,"Signal = Interest_Rate(Country1) - Interest_Rate(Country2); Action: Long ETF of the country with higher interest rate/short ETF of the country with lower interest rate if Signal > Threshold, Vice-versa if Signal < -Threshold"
Correlation Arbitrage: Convertible Bond Arbitrage,Conversion Premium Deviation,Significant deviations from the expected conversion premium of a convertible bond signal a mispricing.,Signal = (MarketPrice - IntrinsicValue) / IntrinsicValue
Correlation Arbitrage: Basket Trading,Basket Volatility,Low volatility in a basket of correlated assets presents a higher-probability mean reversion trade.,Signal = 1 / StandardDeviation(BasketValue(30 days))
Correlation Arbitrage: Statistical Arbitrage,Principal Component Analysis (PCA),Using PCA to identify and exploit co-movements in a portfolio of assets.,"Signal = PCA(AssetReturns, NumberOfComponents) - Mean(PCA(AssetReturns, NumberOfComponents))"
Technical Indicators,Stochastic Oscillator,A stochastic oscillator crossing above 20 predicts a price increase.,IF (Stochastic Oscillator crosses above 20) THEN Buy Signal
Technical Analysis,Average True Range (ATR) Volatility,High ATR values suggest increased volatility and potential for larger price swings.,"signal = ATR(High, Low, Close, 14) / MA(Close, 14)"
Mean Reversion,Moving Average Crossover Reversion,A short-term moving average crossing below a long-term moving average indicates a potential mean reversion upward.,"signal = 1 if SMA(Price, 5) < SMA(Price, 20) and SMA(Price, 5) crosses below SMA(Price,20) else 0"
Momentum,Short Interest Momentum,A decrease in short interest coupled with positive price movement suggests sustained momentum.,Short_Interest_Momentum = (Short_Interest[t-1] - Short_Interest[t]) / Short_Interest[t-1]
Momentum,High Volatility Momentum,Stocks that experience high price volatility and still show positive momentum are likely to continue the trend.,"Volatility_Adjusted_Momentum = (Price[t] - Price[t-10])/Price[t-10] / Volatility(Price, window=10) "
Undervalued Assets Outperformance,Cyclically Adjusted PE (CAPE) Ratio,Stocks with a CAPE ratio significantly below the market average will outperform.,Signal = (Market_Avg_CAPE - Stock_CAPE) / Market_Avg_CAPE
Undervalued Assets Outperformance,Price-to-Book Value (P/B) Discrepancy,Stocks with a P/B ratio significantly below their industry average will generate excess returns.,Signal = (Industry_Avg_PB - Stock_PB) / Industry_Avg_PB
Volatility Changes Predict Returns,Volatility and Volume,High volatility combined with high volume predicts lower future returns.,signal = -VIX_current * volume_avg(5)
Volatility Changes Predict Returns,Correlation and Volatility,Decreasing correlations with a market index during increased volatility predict underperformance.,"signal = -delta(correlation_to_index, 5) * rolling_std(returns, 10)"
Volatility Changes Predict Returns,P/E Ratio and Volatility,High P/E ratios combined with increasing volatility predict negative returns.,"signal = -1 * (P/E_ratio * stddev(close_price, window=10))"
Liquidity Impact on Asset Prices,Volume Spike and Subsequent Dip,A significant volume spike followed by a sharp volume dip predicts a short-term price decrease.,signal = (V_t - V_{t-1}) * (V_{t-1} - V_{t-2}); if signal > threshold then short
Liquidity Impact on Asset Prices,"Low Volume, High Volatility",Assets trading with low volume but high volatility are likely to experience a significant price swing.,signal = volatility(P_{t-n:t}) / mean(V_{t-n:t}); if signal > threshold then long/short based on trend
Liquidity Impact on Asset Prices,Increased Volume and P/E Ratio,A sudden increase in volume coupled with a high P/E ratio predicts a price correction.,signal = (V_t - V_{t-1}) / V_{t-1} * P/E_t; if signal > threshold then short
Liquidity Impact on Asset Prices,Liquidity Drying Up,Decreasing bid-ask spread and decreasing volume signals drying up of liquidity and potential for price volatility.,signal = (bid-ask spread_t - bid-ask spread_{t-1}) + (V_t - V_{t-1}); if signal < threshold then avoid trading
Liquidity Impact on Asset Prices,Sudden Volume Increase and Correlation Shift,A sudden increase in volume coupled with a shift in correlation with a benchmark index indicates an event-driven price movement.,"signal = (V_t - V_{t-1}) * (correlation(P_t, Index_t) - correlation(P_{t-1},Index_{t-1})); if |signal| > threshold then trade based on the direction of correlation shift"
Liquidity Impact on Asset Prices,Overnight Liquidity Change,A significant difference between the closing volume and the opening volume of the following day predicts short-term price movement.,signal = V_t (opening) - V_{t-1} (closing); if |signal| > threshold then long/short based on the direction of the signal
Market Sentiment,Sentiment Volatility Impact,High sentiment volatility predicts higher price volatility.,"signal = stddev(sentiment_score, 20)"
Social Media Sentiment and Price,Social Buzz Prediction,High social media mentions with predominantly positive sentiment predicts short-term price gains.,signal = (Positive_Social_Mentions / Total_Social_Mentions) * Total_Social_Mentions
News Sentiment Lagged Effect,3-Day Sentiment Lag,The average sentiment over the past three days predicts price movement on the following day.,signal = Avg(Sentiment[-3:-1])
News Tone and Price Change,News Tone Strength,The strength of positive or negative sentiment in news articles predicts the magnitude of price change.,"signal = abs(Avg(Sentiment_Score, window=7)) * Price_Change"
Combined Sentiment Analysis,Weighted Sentiment Score,A weighted average of news and social media sentiment scores predicts price movement.,signal = 0.6 * Avg(News_Sentiment) + 0.4 * Avg(Social_Media_Sentiment)
Carry,Interest Rate Sensitivity Carry,High-yield bonds with low duration (less sensitive to interest rate changes) tend to outperform when rates are volatile.,Signal = (Yield to Maturity) / (Modified Duration) * (Interest Rate Volatility)
Calendar Effects,Seasonal Effect,Certain sectors outperform during specific times of the year.,Signal = (Sector Return - Market Return) for each season
News-Driven Volatility,News Volume Shock,A significant increase in news volume predicts increased price volatility in the subsequent 24 hours.,"signal = (news_volume_today / AVG(news_volume, 30)) - 1"
News-Price Correlation,News-Price Lagged Correlation,A strong positive correlation between daily news sentiment and lagged price changes indicates future price increases.,"Signal = CORR(SentimentScore, Price_lag1, 20); if (Signal > Threshold) then Buy; else Sell;"
News Category Impact,Positive Earnings News,Positive earnings news leads to increased returns within one week.,"signal = IF(news_category == 'earnings' AND news_sentiment > 0, 1, 0)"
News Sentiment & Trading Volume,News-Volume Amplification,Positive news sentiment combined with high trading volume amplifies price gains.,"signal = news_sentiment * (volume / AVG(volume, 20))"
Combined Sentiment and News Impact,Composite Sentiment Index,A composite index of news sentiment and market sentiment predicts future price movements.,signal = 0.6 * market_sentiment + 0.4 * news_sentiment
Market Sentiment,Sentiment_Volume_Correlation,High positive sentiment coupled with high volume predicts price increases.,Signal = Sentiment_t * Volume_t / Avg(Volume_{t-n:t})
Market Sentiment,News_Tone_Impact,Positive news tone increases price proportionally to its magnitude.,Signal = News_Tone_Score_t * Price_t
Market Sentiment,Sentiment_Lagged_Correlation,A correlation between past sentiment and future price changes predicts future movements.,"Signal = Correlation(Sentiment_{t-n:t-1}, Price_{t:t+m}) where n and m are lookback and forward periods"
Market Sentiment,Sentiment_Divergence,Price divergence from sentiment suggests a potential reversal.,Signal = (Price_t - Price_{t-1}) - (Sentiment_t - Sentiment_{t-1})
Market Sentiment,Sentiment_Volatility_Interaction,High sentiment amplifies price volatility in the following period.,Signal = Sentiment_t * Volatility_{t+1}
Volume Surges,Volume/Price Ratio Increase,A sharp increase in the volume/price ratio indicates a potential price reversal.,signal = (Volume[t]/Price[t]) / avg(Volume[t-20:t-1]/Price[t-20:t-1])
Volume Drying Up,Drying Up Before Breakout,Decreasing volume preceding a significant price increase suggests a potential breakout.,Signal = 1 if (Volume[t] < 0.5 * Avg(Volume[t-10:t-1]) and Price[t+1] > Price[t] + 0.03 * Price[t]) else 0
Volume & Price Correlation,Positive Volume/Price Correlation Change,A sudden increase in the positive correlation between volume and price predicts a price increase.,"signal = corr(Volume[t-20:t], Price[t-20:t]) - corr(Volume[t-40:t-21], Price[t-40:t-21])"
Volume & Price Correlation,Negative Volume/Price Correlation Divergence,Price increasing while volume decreases (negative correlation divergence) is a bearish signal.,signal = -1 if (Price[t] > Price[t-1] and Volume[t] < Volume[t-1]) else 0
Volume and Sentiment,"High Volume, Negative Sentiment",High trading volume coupled with negative market sentiment predicts a potential short-term price drop.,Signal = -1 if (Volume[t] > 2 * Avg(Volume[t-20:t-1]) AND Sentiment[t] < -0.5) else 0
Volume & P/E Ratio,"High Volume, High P/E",High volume accompanied by a high P/E ratio suggests an overvalued asset and potential correction.,signal = -1 if (Volume[t] > 1.5 * avg(Volume[t-30:t-1]) and PE[t] > 2 * avg(PE[t-30:t-1])) else 0
Volume & Relative Strength,Volume Confirmation of Relative Strength,"Increased volume confirms a strong relative strength signal, predicting continued outperformance.",signal = 1 if (RS[t] > 1.2 and Volume[t] > avg(Volume[t-20:t-1])) else 0
Statistical Arbitrage: Pairs Trading,Divergence from Cointegration,"When the spread between two cointegrated stocks deviates significantly from its historical average, it will revert.",signal = (stock1_price - beta * stock2_price - cointegration_avg) / cointegration_stddev
Correlation Arbitrage: Exploiting temporary mispricing between correlated assets,Spread Momentum,The spread between two correlated assets exhibits positive momentum; this momentum is expected to continue for a short period.,"signal = SMA(price_assetA - price_assetB, 10) - SMA(price_assetA - price_assetB, 50)"
Statistical Arbitrage: Sector Rotation,Relative Strength Index (RSI) Crossover,Stocks with RSI crossing below 30 are undervalued and will outperform.,Signal = 1 if RSI < 30 else 0
Correlation Arbitrage: Exploiting temporary mispricing between correlated assets,News Event Impact,Different market reactions to the same news event for correlated assets create short-term arbitrage opportunities.,signal = (PriceChange_AssetA - PriceChange_AssetB) * news_event_impact_score
Statistical Arbitrage: Volume Analysis,Volume-Price Discrepancy,Large volume changes without significant price changes predict a future price reversal.,signal = (volume - avg_volume) / avg_volume - price_change
Statistical Arbitrage: Time Series Models,ARIMA Price Prediction,An ARIMA model forecasts future price movements based on past price data.,signal = ARIMA(price).forecast()
Relative Strength,Sector Relative Strength Divergence,"When an asset's relative strength diverges significantly from its sector's relative strength, a correction is likely.","divergence = ABS(RelativeStrength(Price,BenchmarkPrice) - SectorRelativeStrength)"
Relative Strength,Sentiment and Relative Strength,Positive sentiment combined with high relative strength predicts above-average returns.,"signal = SentimentScore * RelativeStrength(Price,BenchmarkPrice)"
Relative Strength,Correlation and Relative Strength,Assets with low correlation to the benchmark and high relative strength offer higher potential returns.,"Signal = RS_60D * (1 - Correlation(Asset, Benchmark))"
Relative Strength,Relative Strength Moving Average Crossover,A short-term relative strength moving average crossing above a long-term moving average indicates a bullish signal.,"signal = 1 if SMA(relative_strength, short_period) > SMA(relative_strength, long_period) else 0"
Growth Stock Outperformance,Earnings Surprise Factor,Stocks that exceed earnings expectations by a significant margin will outperform those that miss or barely meet expectations.,Signal = (ActualEPS - ExpectedEPS) / ExpectedEPS
Growth Stock Outperformance,High PE Ratio with Growth Justification,Stocks with high P/E ratios but strong projected future earnings growth will outperform stocks with low P/E ratios and low growth.,Signal = (P/E) / (Projected_EPS_Growth_NextYear)
Growth Stock Outperformance,Strong Revenue and Earnings Correlation,Stocks with a high positive correlation between revenue growth and earnings growth will outperform those with a low or negative correlation.,"Signal = Correlation(RevenueGrowth, EarningsGrowth)"
Growth Stock Outperformance,Price Momentum with Growth,Stocks with strong recent price appreciation and high growth projections will outperform stocks with weak price momentum and low growth.,Signal = (PriceChange_LastMonth / Price_LastMonth) * Projected_EPS_Growth_NextYear
Low Volatility,Value Low Volatility,Low volatility stocks with low P/E ratios relative to their historical averages are expected to generate higher returns.,"signal = (1 / PE_ratio) * (1 / volatility(price, 60))"
Low Volatility,Sentiment-Adjusted Low Volatility,Low volatility stocks with improving sentiment scores exhibit stronger risk-adjusted returns compared to those with declining sentiment.,"signal = (sentiment_score_change / volatility(price, 60))"
Low Volatility,Implied Volatility Ratio,Stocks with low historical volatility and a high ratio of implied volatility to historical volatility are undervalued and offer high returns.,"signal = (implied_volatility / volatility(price, 60))"
Low Volatility,Earnings Surprise on Low Volatility,Low volatility stocks with positive earnings surprises relative to analyst estimates tend to outperform.,"signal = (earnings_surprise / volatility(price, 60))"
Earnings Surprise Prediction,Surprise & Volume Surge,Positive earnings surprises combined with above-average trading volume predict stronger price increases.,signal = (eps_surprise / prev_close_price) * (volume / avg_volume_30day)
Volume Spike,Post-Spike Price Momentum,"Following a significant volume spike, a stock price is more likely to continue its recent trend.",IF (Volume[today] > 2 * AVG(Volume[today-20:today-1])) THEN Signal = SLOPE(Price[today-10:today]) ELSE Signal = 0
Volume Spike,Volume Spike with Positive Sentiment,A stock price is likely to increase if a volume spike is accompanied by a significant increase in positive sentiment.,Signal = (Volume[today] - AVG(Volume[today-20:today-1])) * SentimentScore[today]
Volume Spike,Low Float Volume Surge,Stocks with low float exhibiting a dramatic volume increase are likely to experience a significant price change.,Signal = (Volume[today] / Float) * (Volume[today] / AVG(Volume[today-20:today-1]))
Volume Spike,Volume Spike and High P/E Ratio,A stock with a high P/E ratio experiencing a volume spike is more likely to experience a price correction.,Signal = (P/E[today] * (Volume[today] - AVG(Volume[today-20:today-1]))
Volume Anomaly,Correlation with Sector Volume,Unusual volume increase exceeding sector volume suggests stock-specific news driving price change.,Signal = 1 if (Volume[t] > 2*AvgVolume[t-20] and Volume[t] > 2*SectorVolume[t]) else 0
Volume Spike,Volume Spike and News Sentiment,Positive news sentiment coupled with a volume spike strengthens the bullish signal.,IF (Volume[t] > 2 * Avg(Volume[t-20:t-1]) AND NewsSentiment[t] > 0.5) THEN Signal = 1 ELSE Signal = 0; Buy if Signal = 1.
Sentiment-Driven Price Momentum,Negative Sentiment Dip,A sudden drop in negative news sentiment predicts a short-term price rebound.,Signal = (Sentiment_Score_t - Sentiment_Score_t-1) / Sentiment_Score_t-1; if Signal < -0.1 then BUY
Sentiment-Price Discrepancy,Sentiment-Price Divergence,A divergence between price and sentiment suggests a potential price reversal.,"Signal = Correlation(Price_Change(t), Sentiment_Score_Change(t))"
Sentiment and Valuation,Cheap Sentiment,Stocks with low P/E ratios and positive sentiment are undervalued and poised for growth.,signal = sentiment / P/E; if (signal > threshold) then BUY; else SELL;
Combined Sentiment and Valuation,Expensive Sentiment,High P/E ratios despite negative sentiment may signal an overvalued asset.,Signal = P_E(t) * Sentiment_Score(t)
News Volatility,News Volatility Spike,A sudden increase in news volume and sentiment volatility predicts increased price volatility.,"Signal = std(Sentiment_Score_Change(t,window)) * std(News_Volume(t,window))"
News Volatility,Mean Reversion of Sentiment,Extreme sentiment values tend to revert to the mean over time.,"Signal = (Mean(Sentiment_Score(t,window)) - Sentiment_Score(t)) / std(Sentiment_Score(t,window))"
Sentiment Correlation,Sectoral Sentiment Correlation,High correlation of sentiment across sectors predicts similar price movements.,"Signal = Correlation(Sector_A_Sentiment(t), Sector_B_Sentiment(t))"
Price and Volume Patterns,3-Day Moving Average Crossover,A fast moving average crossing above a slow moving average signals a bullish trend.,"IF (MA(Price, 5) > MA(Price, 20)) THEN Signal = 1 ELSE IF (MA(Price, 5) < MA(Price, 20)) THEN Signal = -1 ELSE Signal = 0"
Sustainable Growth,High Gross Margin,Companies with high and stable gross margins will outperform.,GrossMargin_t > 0.4
Sustainable Growth,Low Sales Volatility,Companies with low volatility in sales revenue over the past five years will outperform.,"stddev(Sales_t-5, Sales_t-4, Sales_t-3, Sales_t-2, Sales_t-1) < 0.1 * avg(Sales_t-5, Sales_t-4, Sales_t-3, Sales_t-2, Sales_t-1)"
Post-Earnings Volatility,Post-Earnings Volatility Decay,High post-earnings volatility predicts subsequent price mean reversion.,"Signal = -1 * Standard Deviation(Price, past 2 days after announcement)"
News/Earnings Impact,News-Induced Short Squeeze,"Unexpected positive news can trigger a short squeeze, leading to significant price increases.",Signal = (ShortInterest/SharesOutstanding) * SentimentScore; Buy if (Signal > threshold AND NewsSentiment > 0)
Arbitrage: Exploiting pricing discrepancies between related assets,Option-Stock Parity Break,Violations of put-call parity for options on the same underlying stock present arbitrage opportunities.,"Signal = CallPrice + PV(StrikePrice) - PutPrice - StockPrice; Buy underpriced components, Sell overpriced components if abs(Signal) > ErrorMargin"
Arbitrage: Exploiting pricing discrepancies between related assets,Stock Split Mispricing,"Post-stock split, the adjusted price may deviate briefly from the expected price, creating arbitrage opportunities.","Signal = (PreSplitPrice / SplitRatio) - PostSplitPrice; Buy if Signal > 0.01, Sell if Signal < -0.01"
Carry Trade,High-Yield Spread Expansion,The carry trade will generate higher returns when the interest rate differential between the high-yield and low-yield currency widens.,"Signal = (High_Yield_Rate - Low_Yield_Rate) / Avg(High_Yield_Rate, Low_Yield_Rate)"
